"name","sex","start","stop","cyst","death","mom","momdied"
"Linzy","F",0,1095.75,"0",0,"Lolita",0
"Puff","F",0,1046,"0",0,"Pita",0
"Fema","F",0,1095.75,"0",0,"Fantine",0
"Madeline","F",0,1095.75,"0",0,"Mary",0
"Haunt","F",0,1095.75,"0",0,"Hester",0
"Talisman","M",0,1095.75,"0",0,"Trapezoid",0
"Hate","F",0,1095.75,"1",0,"Harriet",0
"Little","F",0,1095.75,"0",0,"Lorna",0
"Luna","F",0,1095.75,"0",0,"Lisa",0
"Seymore","M",0,1095.75,"0",0,"Mabel",0
"Rex","M",0,450.958333333333,"1",0,"Hope",0
"Don Juan","M",0,1095.75,"0",0,"Dotty",0
"Tecate","M",0,1095.75,"0",0,"Corona",0
"Cancer","M",0,457.041666666667,"0",0,"Colleen",0
"Taurus","M",0,1095.75,"0",0,"Carmen",0
"Oregon","M",0,1095.75,"1",0,"Cali",0
"Dexi","M",0,513,"0",0,"Arlene",0
"Sean","M",0,1095.75,"0",0,"Debra",0
"Cisco","M",0,516.958333333333,"0",0,"Betty",0
"Moira","F",0,1095.75,"0",0,"Monica",0
"Bronte","F",0,1095.75,"0",0,"Birtha",0
"Bimbi","F",0,1095.75,"0",0,"Bryonny",0
"Waxy","F",0,441,"0",0,"Wafer",0
"Zilch","M",0,1095.75,"0",0,"Zamboni",0
"Zorro","M",0,1095.75,"0",0,"Zaybar",0
"Buffy","F",0,1095.75,"0",0,"Barbara",0
"Rasta","F",0,1095.75,"0",0,"Rita",0
"Red","F",0,1095.75,"0",0,"Ruby",0
"Zen","M",0,1095.75,"0",0,"Zion",0
"Oasis","M",0,1095.75,"0",0,"Zimbaba",0
"Rikola","F",0,1095.75,"0",0,"Ricki",0
"Elias","M",0,1095.75,"0",0,"Trudy",0
"Zebra","F",0,1095.75,"0",0,"Zoo",0
"Grub","M",0,1095.75,"0",0,"Gladys",0
"Fawcett","F",0,993,"0",0,"Farrah",0
"Vex","M",0,1095.75,"0",0,"Vye",0
"Ant","F",0,1095.75,"0",0,"Ani",0
"Gaia","F",0,1095.75,"1",0,"Greta",0
"Tater","F",0,1095.75,"0",0,"Tubby",0
"Tipi","F",0,1095.75,"0",0,"Tail",0
"Bella","F",0,1037,"0",0,"Bombolino",0
"Boytjie","M",0,1095.75,"0",0,"Glenda",0
"Ghost","F",0,1095.75,"0",0,"Gypsy",0
"Baggins","M",0,1095.75,"0",0,"Tea",0
"Gonzo","M",0,1095.75,"0",0,"Meena",0
"Thumper","F",0,1095.75,"0",0,"Top",0
"Djembe","M",0,1095.75,"0",0,"Lorna",0
"Gob","M",0,1095.75,"0",0,"Tiny",0
"Xavier","M",0,1095.75,"0",0,"Zamboni",0
"Domino","M",0,1095.75,"0",0,"Moo",0
"Munchkin","F",0,1095.75,"0",0,"Mimi",0
"Mojo","M",0,1095.75,"1",0,"Mary",0
"Dixy","F",0,1095.75,"0",0,"Debra",0
"Boggle","M",0,472.958333333333,"0",0,"Rita",0
"Dolly","F",0,1095.75,"1",0,"Delia",0
"Toronto","M",0,1095.75,"0",0,"Trudy",0
"Clover","F",0,1095.75,"0",0,"Cassie",0
"Nubbin","M",0,1095.75,"0",0,"Nardos",0
"Zoe","F",0,1095.75,"0",0,"Zoo",0
"Lizzy","F",0,1095.75,"0",0,"Lee",0
"Biera","F",0,1095.75,"0",0,"Barbara",0
"Rbt","F",0,1095.75,"0",0,"Ricki",0
"Amelia","F",0,1095.75,"0",0,"Aiwa",0
"Dale","M",0,1095.75,"0",0,"Dessie",0
"Clymax","M",0,1095.75,"0",0,"Carmen",0
"Cynthia","F",0,1095.75,"1",0,"Cali",0
"Eric","M",0,1095.75,"0",0,"Cee",0
"Reese","F",0,1095.75,"0",0,"Ruby",0
"Isaac","M",0,1095.75,"0",0,"Coco",0
"Joker","M",0,1095.75,"0",0,"Jinka",0
"Hye","F",0,1095.75,"0",0,"Heksie",0
"Cuervo","M",0,1095.75,"0",0,"Corona",0
"Daisy","F",0,1095.75,"0",0,"Dawn",0
"Zirzir","M",0,1095.75,"0",0,"Zee",0
"Autumn","F",0,1095.75,"0",0,"Ani",0
"Zoudu","M",0,1095.75,"0",0,"Zion",0
"Mambo","F",0,1095.75,"0",0,"Midge",0
"Omar","M",0,1095.75,"0",0,"Maze",0
"Maitai","F",0,1095.75,"0",0,"Meena",0
"Dill","M",0,1095.75,"0",0,"Debra",0
"Miagi","M",0,1095.75,"0",0,"Muppet",0
"Licorice","F",0,856.041666666667,"0",0,"Lisa",0
"Hug","F",0,1095.75,"1",0,"Hon",0
"Byork","F",0,1095.75,"1",0,"Beatrice",0
"Bongo","M",0,676,"0",0,"Bryonny",0
"Loba","F",0,608.041666666667,"0",0,"Loo",0
"Gavin","M",0,1095.75,"1",0,"Grace",0
"Twiggy","F",0,1095.75,"0",0,"Tea",0
"Horatio","M",0,1095.75,"0",0,"Tess",0
"Zerbert","F",0,1095.75,"0",0,"Zamboni",0
"Tickle","F",0,1095.75,"0",0,"Taffy",0
"Bossy","F",0,1095.75,"0",0,"Brindle",0
"Waggle-dance","M",0,1095.75,"0",0,"Bee",0
"Hewhoshallnotbenamed","M",0,1095.75,"0",0,"Glenda",0
"Pip","M",0,1095.75,"0",0,"Gladys",0
"Tempest","M",0,1095.75,"0",0,"TukTuk",0
"Blomkvist","M",0,1095.75,"0",0,"Gypsy",0
"Doppler","M",0,1095.75,"0",0,"Delia",0
"Odysseus","M",0,1095.75,"0",0,"Omi",0
"Avatar","F",0,1095.75,"0",0,"Aiwa",0
"Agamemmnon","M",0,1095.75,"0",0,"Ani",0
"Dante","M",0,1095.75,"0",0,"Bronte",0
"Vimto","M",0,1095.75,"0",0,"Vespa",0
"Von Striver","F",0,1095.75,"0",0,"Vampire",0
"Zylo","F",0,1095.75,"0",0,"Zee",0
"Doodah","M",0,1095.75,"0",0,"Zipadee",0
"Kaleidescope","F",0,1095.75,"0",0,"Kima",0
"Borneo","F",0,1095.75,"0",0,"Beverly",0
"Myce","M",0,1095.75,"0",0,"Mouse",0
"Mickey","F",0,1095.75,"0",0,"Madeline",0
"Mei","F",0,1095.75,"0",0,"Moo",0
"Jack Sparrow","M",0,1095.75,"0",0,"Nadia",0
"Flying Dutchman","M",0,1095.75,"0",0,"Nardos",0
"Neptune","M",0,1095.75,"0",0,"Noggin",0
"Zsolt","M",0,1095.75,"0",0,"Zamboni",0
"Zephyr","M",0,1095.75,"0",0,"Zara",0
"Caesar","M",0,1061,"0",0,"Cassie",0
"Virga","F",0,1095.75,"0",0,"Violet",0
"Cauliflower","F",0,1051,"1",0,"Cee",0
"Vladmir","M",0,1095.75,"0",0,"Vivien",0
"Gizmo","M",0,1095.75,"0",0,"Vye",0
"Kondrashov","F",0,1095.75,"0",0,"Keegle",0
"Toadkiller Dog","M",0,1095.75,"0",0,"Valerie",0
"Qalada","F",0,1036,"1",0,"Qtip",0
"Onyxia","F",0,960,"0",0,"Okidoki",0
"Caiperinha","F",0,938.041666666667,"0",0,"Corona",0
"Gursha","M",0,895.041666666667,"0",0,"Gypsy",0
"Tot","M",0,1050,"0",0,"Tater",0
"Drogo","M",0,942.041666666667,"1",0,"Debra",0
"Othello","M",0,655,"0",0,"Omily",0
"Tehol","M",0,990.041666666667,"0",0,"Top",0
"Tazo","F",0,973.041666666667,"0",0,"Tea",0
"Zabeeb","F",0,771,"0",0,"Zee",0
"Zygote","F",0,781,"0",0,"Zion",0
"Jarvey","M",0,1095.75,"0",0,"Jools",0
"Tenesh","M",0,828.041666666667,"0",0,"Thandi",0
"Cinnamon","F",0,1080,"0",0,"Ceylon",0
"Crunch","M",0,350,"0",0,"Coco",0
"Jax","F",0,1003.04166666667,"0",0,"Jinka",0
"Gaga","F",0,926.041666666667,"0",0,"Gaia",0
"Dinky","F",0,999.041666666667,"0",0,"Diana",0
"Akira","M",0,659,"0",0,"Ani",0
"Daenarys","F",0,915.041666666667,"0",0,"Dessie",0
"Aristotle","M",0,818.041666666667,"0",0,"Alexandra",0
"Apollo","M",0,783.041666666667,"0",0,"Ant",0
"Giardia","M",0,848.041666666667,"0",0,"Gladys",0
"Gibsha","M",0,921.041666666667,"0",0,"Glenda",0
"Tdog","M",0,865.041666666667,"0",0,"Taffy",0
"Telek","F",0,860.041666666667,"0",0,"Trudy",0
"Millie","F",0,746,"0",0,"Maze",0
"MacBeth","F",0,480.041666666667,"0",0,"Meena",0
"Tekle","M",0,71.9583333333333,"0",0,"Himanot",0
"Tobasco","M",0,736,"0",0,"Peri",0
"Wusha","F",0,374,"0",0,"Wudu",0
"Fritter","F",0,62,"0",0,"Farrah",0
"Llq","F",0,51,"0",0,"Lee",0
"Lll","M",0,58,"0",0,"Little",0
"Rupee","F",0,218.041666666667,"0",0,"Rita",0
"Rosemary","F",0,303.041666666667,"0",0,"Roxanne",0
"Rhyme","M",0,211.041666666667,"0",0,"Ruby",0
"Burpee","F",0,332,"0",0,"Barbara",0
"Qweef","M",0,210,"0",0,"Blarney",0
"Orchid","F",0,629,"0",0,"Oshkosh",0
"Ababa","F",0,30,"0",0,"Aiwa",0
"Achoo","F",0,45,"0",0,"Amelia",0
"Qwoffi","M",0,605.041666666667,"0",0,"Bee",0
"Boulder","M",0,450.041666666667,"0",0,"Beverly",0
"Beka","M",0,735,"0",0,"Bimbi",0
"Basil","F",0,580.041666666667,"0",0,"Brindle",0
"Box","M",0,70.0416666666667,"0",0,"Bronte",0
"Bucket","F",0,531.041666666667,"0",0,"Buffy",0
"Bajaj","F",0,468.041666666667,"0",0,"Buna",0
"Cristos","M",0,821.041666666667,"0",0,"Carmen",0
"Cersei","F",0,72.0416666666667,"0",0,"Cassie",0
"Cleo","F",0,561.041666666667,"0",0,"Chuxi",0
"Dasher","F",0,1,"0",0,"Diana",0
"Gouder","M",0,73.0416666666667,"0",0,"Gaia",0
"Janice","F",0,55.0416666666667,"0",0,"Jinka",0
"Jemarcus","M",0,80.0416666666667,"0",0,"Jools",0
"Kokh","M",0,76.0416666666667,"0",0,"Keegle",0
"Kyte","F",0,400,"0",0,"Kylie",0
"Mohammed","M",0,473.041666666667,"0",0,"Madeline",0
"Mekele","M",0,700,"0",0,"Midge",0
"Moyst","F",0,34,"0",0,"Midge",0
"Mastika","F",0,462.041666666667,"0",0,"Mimi",0
"Mebet","F",0,669,"0",0,"Moira",0
"Muckluck","F",0,724,"0",0,"Monica",0
"Myrtle","F",0,472.041666666667,"0",0,"Moo",0
"Myte","M",0,383,"0",0,"Mouse",0
"Mowtat","F",0,497.041666666667,"0",0,"Munchkin",0
"Niblet","M",0,149.041666666667,"0",0,"Nadia",0
"Neena","F",0,296,"0",0,"Nardos",0
"NoNo","M",0,409,"0",0,"Naughty",0
"Nugget","M",0,451.041666666667,"0",0,"Noggin",0
"Nylon","F",0,409,"0",0,"Nymphadora",0
"Tabasco","M",0,116.041666666667,"0",0,"Tater",0
"Tybalt","M",0,160.041666666667,"0",0,"Tea",0
"Tibs","F",0,276.041666666667,"0",0,"Tess",0
"Treebeard","M",0,167.041666666667,"0",0,"Thumper",0
"Todd","M",0,537.041666666667,"0",0,"Tipi",0
"Tampin","F",0,34,"0",0,"Trudy",0
"Vee","F",0,391,"0",0,"Valerie",0
"Vishnu","F",0,731,"0",0,"Vampire",0
"Vail","M",0,894.041666666667,"0",0,"Vienna",0
"Voodoo","F",0,465.041666666667,"0",0,"Violet",0
"Vidalia","F",0,443.041666666667,"0",0,"Vivien",0
"Viquot","M",0,188.041666666667,"0",0,"Vixen",0
"Vortex","F",0,449.041666666667,"0",0,"Vye",0
"Ziv","M",0,180.041666666667,"0",0,"Zamboni",0
"Zonkos","M",0,91.0416666666667,"0",0,"Zebra",0
"Zach","M",0,102.041666666667,"0",0,"Zee",0
"Ziti","F",0,59.0416666666667,"0",0,"Zion",0
"Zanzibar","F",0,97.0416666666667,"0",0,"Zoe",0
"Zucchini","F",0,212.041666666667,"0",0,"Zoo",0
